Flushing Ave,20.643336,1/
103rd St - Corona Plaza,19.586448,1/
50th St,16.973712,1/
Ft Hamilton Pkwy,14.869008,1/
111th St,14.2884,1/
Fordham Rd,14.224896,1/
90th St - Elmhurst Av,14.22036,1/
67th Ave,13.136256,1/
Freeman St,12.083904,1/
182nd-183rd Sts,11.911536,1/
170th St,11.480616,1/
176th St,11.312784,1/
Ditmas Ave,11.117736,1/
Sutter Ave - Rutland Road,11.1132,1/
55th St,11.008872,1/
West Farms Sq - E Tremont Av,10.813824,1/
Ave M,10.50084,1/
18th Ave,9.93384,1/
Ave J,9.879408,1/
Beach 25th St,9.566424,1/
Ave U,9.511992,1/
Norwood - 205th St,9.357768,1/
Carroll St,9.25344,1/
Bedford Park Blvd,9.189936,1/
St Lawrence Ave,8.967672,1/
Elder Ave,8.940456,1/
53rd St,8.727264,1/
Saratoga Ave,8.681904,1/
169th St,8.659224,1/
Forest Ave,8.491392,1/
174th St,8.473248,1/
Grand Ave - Newtown,8.30088,1/
20th Ave,8.241912,1/
82nd St - Jackson Hts,8.173872,1/
Kingston Ave,8.155728,1/
Bay Ridge Ave,8.128512,1/
Newkirk Ave,8.060472,1/
167th St,8.042328,1/
Myrtle-Willoughby Aves,8.001504,1/
1st Ave,7.91532,1/
Astoria - Ditmars Blvd,7.906248,1/
Neck Rd,7.842744,1/
Fresh Pond Rd,7.815528,1/
183rd St,7.64316,1/
Prospect Ave,7.615944,1/
174th-175th Sts,7.429968,1/
225th St,7.375536,1/
Mt Eden Ave,7.34832,1/
Castle Hill Ave,7.307496,1/
170th St,6.931008,1/
Ft Hamilton Pkwy,6.921936,1/
Morrison Av - Soundview,6.876576,1/
Kingston - Throop Aves,6.87204,1/
125th St,6.808536,1/
45th St,6.790392,1/
Bedford Ave,6.704208,1/
East Broadway,6.676992,1/
86th St,6.64524,1/
63rd Dr - Rego Park,6.527304,1/
Ralph Ave,6.468336,1/
Allerton Ave,6.41844,1/
Cortelyou Rd,6.377616,1/
145th St,6.37308,1/
71st St,6.246072,1/
