Astor Pl,1.162454612,3/
Canal St,0.011635124,2/
50th St,0.022212509,1/
Bergen St,0.650509178,1/
Pennsylvania Ave,7.702451757,1/
238th St,2.605209926,1/
Cathedral Pkwy (110th St),3.665063903,1/
Kingston - Throop Aves,18.86265067,1/
65th St,0.31732155,1/
36th St,0.022212509,1/
Delancey St - Essex St,2.39048901,3/
Van Siclen Ave,2.586170633,1/
Norwood Ave,2.404239611,3/
104th-102nd Sts,0.749936597,1/
DeKalb Ave,5.108876955,2/
Beach 105th St,0.263376887,1/
Beach 90th St,1.875370361,1/
Freeman St,13.61203676,1/
Intervale Ave,5.600725358,1/
182nd-183rd Sts,9.768215048,1/
174th-175th Sts,7.174640246,1/
167th St,18.32426177,3/
Mets - Willets Point,0.02115477,1/
Junction Blvd,2.398950918,2/
Flushing - Main St,3.65977521,2/
Buhre Ave,1.122260549,1/
3rd Ave - 138th St,3.941133651,3/
Castle Hill Ave,7.142908091,1/
Brooklyn Bridge - City Hall,0.2115477,2/
Zerega Ave,3.571982915,1/
Grand Central - 42nd St,0.019039293,2/
33rd St,1.235438568,1/
96th St,1.122260549,1/
77th St,0.45165434,1/
Chauncey St,4.688954771,1/
Union St,1.262939769,1/
Elmhurst Ave,0.501368049,1/
Ralph Ave,15.1298915,1/
Pelham Pkwy,4.285956402,2/
Gun Hill Rd,12.41996547,2/
Nereid Ave (238 St),6.866838342,1/
Franklin Ave,7.3904189,1/
Simpson St,1.633148244,2/
Bronx Park East,2.542803354,1/
Winthrop St,16.06916329,1/
Van Siclen Ave,10.41978196,1/
149th St - Grand Concourse,1.005909314,1/
161st St - Yankee Stadium,0.38078586,2/
Lexington Ave - 59th St,0.082503603,1/
E 149th St,2.687713529,3/
Morrison Av - Soundview,8.168914436,1/
Whitlock Ave,1.678631,1/
St Lawrence Ave,8.606818175,1/
Woodside - 61st St,0.279242964,2/
Far Rockaway - Mott Ave,9.110301701,2/
72nd St,0.159718514,1/
96th St,1.525258917,3/
168th St,1.985375165,2/
Kingsbridge Rd,5.407159212,2/
42nd St - Bryant Pk,0.059233356,3/
Prospect Park,6.602403717,1/
55th St,0.086734557,1/
Jamaica - Van Wyck,1.081008747,2/
Kew Gardens - Union Tpke,0.78272649,2/
Sutphin Blvd - Archer Av,5.572166418,2/
Court Sq - 23rd St,0.077214911,3/
67th Ave,1.288325493,1/
Grand Ave - Newtown,0.45165434,1/
Ditmas Ave,0.905424156,1/
Classon Ave,6.123248177,3/
Broadway,0.754167551,1/
Lorimer St,0.220009608,3/
Sutter Ave,7.384072469,1/
Wilson Ave,4.109314073,4/
Halsey St,11.00259588,1/
Lorimer St,1.000620621,1/
8th Ave,0.29616678,4/
36th Ave,1.284094539,1/
Broadway,1.018602176,3/
Times Sq - 42nd St,0.006346431,2/
Grand Central - 42nd St,0.002115477,1/
Park Pl,5.591205711,2/
111th St,2.020280535,1/
W 4th St - Washington Sq (Lower),0.085676819,2/
51st St,0.067695264,2/
86th St,0.690703241,1/
233rd St,13.80983386,2/
66th St - Lincoln Ctr,1.230149876,2/
Hunts Point Ave,5.113107909,2/
Canal St,0.143852436,1/
Middletown Rd,0.579640698,1/
23rd St,0.487617449,2/
Court Sq,0.020097032,2/
59th St - Columbus Circle,0.44425017,2/
Hunters Point Ave,0.160776252,1/
23rd St,0.157603037,1/
Houston St,0.057117879,1/
104th St,0.90965511,1/
Broad Channel,0.026443463,1/
Ocean Pkwy,0.187219715,1/
Vernon Blvd - Jackson Ave,0.236933424,1/
68th St - Hunter College,0.152314344,1/
Queensboro Plz,0.025385724,1/
Rockaway Blvd,0.539446635,1/
Union Sq - 14th St,0.157603037,1/
Bedford - Nostrand Aves,8.783460504,1/
15th St - Prospect Park,0.16923816,1/
7th Ave,0.914943803,3/
Ft Hamilton Pkwy,0.961484297,1/
Church Ave,0.993216452,2/
Beverly Rd,6.784334739,1/
Church Ave,12.88854362,3/
Newkirk Ave,5.853524859,1/
Parkside Ave,14.0361899,1/
Grand Army Plaza,1.549586903,1/
Atlantic Av - Barclay's Center,0.101542896,2/
Rockaway Ave,13.29048425,3/
Fulton St,2.533283708,1/
Clinton - Washington Aves,5.886314753,1/
7th Ave,0.602910945,1/
Atlantic Av - Barclay's Center,0.425210877,2/
Atlantic Av - Barclay's Center,1.875370361,2/
Borough Hall,0.252799502,3/
Aqueduct Racetrack,0.521465081,1/
Morris Park,1.780173896,1/
Pelham Pkwy,2.994457694,2/
Nostrand Ave,9.055299299,3/
Nevins St,0.43049957,1/
Eastern Pkwy - Bklyn Museum,2.437029504,1/
