Astor Pl,2.668280966,3/
Canal St,0.040264327,2/
50th St,0.231525,1/
Bergen St,1.172470275,1/
Pennsylvania Ave,4.161276,1/
238th St,7.804989199,1/
Cathedral Pkwy (110th St),4.02338375,1/
Kingston - Throop Aves,8.162751926,1/
65th St,2.939323217,1/
36th St,0.225351,1/
Delancey St - Essex St,11.99138084,3/
Van Siclen Ave,2.711553361,1/
Norwood Ave,1.634139063,3/
104th-102nd Sts,3.037108188,1/
DeKalb Ave,4.9446282,2/
Beach 105th St,1.719784343,1/
Beach 90th St,3.390884344,1/
Freeman St,14.13046502,1/
Intervale Ave,6.542577255,1/
182nd-183rd Sts,12.11272931,1/
174th-175th Sts,6.316716386,1/
167th St,20.5018389,3/
Mets - Willets Point,0.033957,1/
Junction Blvd,8.115455705,2/
Flushing - Main St,21.62659595,2/
Buhre Ave,8.809957737,1/
3rd Ave - 138th St,6.039892552,3/
Castle Hill Ave,8.285653271,1/
Brooklyn Bridge - City Hall,0.738969,2/
Zerega Ave,5.15145553,1/
Grand Central - 42nd St,0.228438,2/
33rd St,3.635035284,1/
96th St,3.560066923,1/
77th St,5.759209375,1/
Chauncey St,2.438676997,1/
Union St,2.602341,1/
Elmhurst Ave,6.657066196,1/
Ralph Ave,5.867420387,1/
Pelham Pkwy,10.40869354,2/
Gun Hill Rd,9.350884711,2/
Nereid Ave (238 St),5.469371778,1/
Franklin Ave,2.395512,1/
Simpson St,2.990807914,2/
Bronx Park East,6.80977257,1/
Winthrop St,4.990928398,1/
Van Siclen Ave,6.38174921,1/
149th St - Grand Concourse,1.716148585,1/
161st St - Yankee Stadium,0.460925267,2/
Lexington Ave - 59th St,0.847796371,1/
E 149th St,3.975252738,3/
Morrison Av - Soundview,10.17916113,1/
Whitlock Ave,2.380077,1/
St Lawrence Ave,10.8946756,1/
Woodside - 61st St,3.317476199,2/
Far Rockaway - Mott Ave,11.3656465,2/
72nd St,1.302896606,1/
96th St,4.170967396,3/
168th St,6.795585384,2/
Kingsbridge Rd,8.820304563,2/
42nd St - Bryant Pk,0.17939707,3/
Prospect Park,1.902186868,1/
55th St,4.575916463,1/
Jamaica - Van Wyck,3.619705517,2/
Kew Gardens - Union Tpke,5.096507072,2/
Sutphin Blvd - Archer Av,4.217116802,2/
Court Sq - 23rd St,0.169708624,3/
67th Ave,16.19584912,1/
