Astor Pl,0.83835,3/
Canal St,0.01863,2/
50th St,0.08829,1/
Bergen St,0.73953,1/
Pennsylvania Ave,1.36566,1/
238th St,6.19164,1/
Cathedral Pkwy (110th St),2.28096,1/
Kingston - Throop Aves,2.23155,1/
65th St,3.64257,1/
36th St,0.23895,1/
Delancey St - Essex St,7.14339,3/
Van Siclen Ave,3.56157,1/
Norwood Ave,3.81834,3/
104th-102nd Sts,5.16294,1/
DeKalb Ave,1.72044,2/
Beach 105th St,0.42363,1/
Beach 90th St,1.93347,1/
Freeman St,14.36211,1/
Intervale Ave,6.60717,1/
182nd-183rd Sts,14.09724,1/
174th-175th Sts,8.40618,1/
167th St,21.47877,3/
Mets - Willets Point,0.02511,1/
Junction Blvd,19.42461,2/
Flushing - Main St,10.76976,2/
Buhre Ave,6.70599,1/
3rd Ave - 138th St,5.7753,3/
Castle Hill Ave,9.38952,1/
Brooklyn Bridge - City Hall,0.20817,2/
Zerega Ave,5.54202,1/
Grand Central - 42nd St,0.04941,2/
33rd St,1.04571,1/
96th St,2.19348,1/
77th St,1.70505,1/
Chauncey St,1.44909,1/
Union St,1.52847,1/
Elmhurst Ave,6.31557,1/
Ralph Ave,2.24937,1/
Pelham Pkwy,10.15254,2/
Gun Hill Rd,6.06366,2/
Nereid Ave (238 St),2.04768,1/
Franklin Ave,0.69417,1/
Simpson St,3.645,2/
Bronx Park East,6.23457,1/
Winthrop St,1.26522,1/
Van Siclen Ave,2.31741,1/
149th St - Grand Concourse,1.42074,1/
161st St - Yankee Stadium,0.49248,2/
Lexington Ave - 59th St,0.17658,1/
E 149th St,5.17023,3/
Morrison Av - Soundview,10.98846,1/
Whitlock Ave,3.38661,1/
St Lawrence Ave,10.96092,1/
Woodside - 61st St,4.58379,2/
Far Rockaway - Mott Ave,6.35202,2/
72nd St,0.36693,1/
96th St,1.56168,3/
168th St,9.28422,2/
Kingsbridge Rd,14.09724,2/
42nd St - Bryant Pk,0.03888,3/
Prospect Park,0.80433,1/
55th St,0.67554,1/
Jamaica - Van Wyck,2.95488,2/
Kew Gardens - Union Tpke,2.87469,2/
Sutphin Blvd - Archer Av,4.07835,2/
Court Sq - 23rd St,0.20979,3/
67th Ave,6.36984,1/
Grand Ave - Newtown,6.76998,1/
Ditmas Ave,2.43,1/
Classon Ave,1.95048,3/
Broadway,1.77066,1/
Lorimer St,0.80757,3/
Sutter Ave,2.60739,1/
Wilson Ave,4.78872,4/
Halsey St,4.30191,1/
Lorimer St,1.40292,1/
8th Ave,2.40813,4/
36th Ave,2.65032,1/
Broadway,4.16988,3/
Times Sq - 42nd St,0,2/
Grand Central - 42nd St,0.06075,1/
Park Pl,1.06758,2/
111th St,3.03183,1/
W 4th St - Washington Sq (Lower),0.16848,2/
51st St,0.12393,2/
86th St,1.80306,1/
233rd St,3.50082,2/
66th St - Lincoln Ctr,2.22669,2/
Hunts Point Ave,7.15959,2/
Canal St,0.20736,1/
Middletown Rd,2.89008,1/
23rd St,0.81648,2/
Court Sq,0.11259,2/
59th St - Columbus Circle,0.83673,2/
Hunters Point Ave,0.2349,1/
23rd St,0.16929,1/
Houston St,0.23085,1/
104th St,2.19267,1/
Broad Channel,0.10854,1/
Ocean Pkwy,0.72981,1/
Vernon Blvd - Jackson Ave,0.55242,1/
68th St - Hunter College,0.49977,1/
Queensboro Plz,0.17253,1/
Rockaway Blvd,3.90663,1/
Union Sq - 14th St,0.24462,1/
Bedford - Nostrand Aves,2.15946,1/
15th St - Prospect Park,1.61595,1/
7th Ave,1.9926,3/
Ft Hamilton Pkwy,1.48635,1/
Church Ave,3.2562,2/
Beverly Rd,2.29878,1/
Church Ave,4.617,3/
Newkirk Ave,1.89297,1/
Parkside Ave,2.78802,1/
Grand Army Plaza,0.91773,1/
Atlantic Av - Barclay's Center,0.06237,2/
Rockaway Ave,2.43729,3/
Fulton St,0.82701,1/
Clinton - Washington Aves,1.98207,1/
7th Ave,0.45684,1/
Atlantic Av - Barclay's Center,0.17415,2/
Atlantic Av - Barclay's Center,1.13967,2/
Borough Hall,0.23004,3/
Aqueduct Racetrack,3.7827,1/
Morris Park,5.12406,1/
Pelham Pkwy,4.91913,2/
Nostrand Ave,1.12914,3/
Nevins St,0.1782,1/
Eastern Pkwy - Bklyn Museum,0.46575,1/
Beverly Rd,1.33488,1/
Church Ave,2.04363,2/
Newkirk Ave,1.63377,1/
Brooklyn College - Flatbush Ave,3.52107,2/
Sterling St,1.10646,1/
Crown Hts - Utica Ave,2.8431,2/
Kingston Ave,1.69371,1/
Nassau Ave,1.72449,1/
Greenpoint Ave,2.28582,1/
Marcy Ave,7.88454,2/
Hewes St,2.25261,1/
138th St - Grand Concourse,1.39887,1/
5th Ave - 53rd St,0.04698,1/
