Astor Pl,1.8225,3/
Canal St,0.07614,2/
50th St,0.18387,1/
Bergen St,0.90558,1/
Pennsylvania Ave,0.72414,1/
238th St,5.00823,1/
Cathedral Pkwy (110th St),2.58552,1/
Kingston - Throop Aves,2.21535,1/
65th St,7.10127,1/
36th St,0.3321,1/
Delancey St - Essex St,8.42643,3/
Van Siclen Ave,2.025,1/
Norwood Ave,1.49445,3/
104th-102nd Sts,5.46345,1/
DeKalb Ave,2.91114,2/
Beach 105th St,0.24381,1/
Beach 90th St,1.13805,1/
Freeman St,11.32542,1/
Intervale Ave,4.81383,1/
182nd-183rd Sts,11.0565,1/
174th-175th Sts,5.9616,1/
167th St,16.67142,3/
Mets - Willets Point,0.14337,1/
Junction Blvd,14.80761,2/
Flushing - Main St,59.78205,2/
Buhre Ave,4.64292,1/
3rd Ave - 138th St,4.61619,3/
Castle Hill Ave,8.26848,1/
Brooklyn Bridge - City Hall,0.62127,2/
Zerega Ave,5.29416,1/
Grand Central - 42nd St,0.1863,2/
33rd St,4.40154,1/
96th St,3.26673,1/
77th St,2.58714,1/
Chauncey St,0.85941,1/
Union St,2.28825,1/
Elmhurst Ave,11.60001,1/
Ralph Ave,1.7172,1/
Pelham Pkwy,8.2053,2/
Gun Hill Rd,4.54329,2/
Nereid Ave (238 St),1.97964,1/
Franklin Ave,0.91125,1/
Simpson St,2.83986,2/
Bronx Park East,6.02154,1/
Winthrop St,1.5147,1/
Van Siclen Ave,1.41264,1/
149th St - Grand Concourse,1.10484,1/
161st St - Yankee Stadium,0.36612,2/
Lexington Ave - 59th St,0.63342,1/
E 149th St,4.11966,3/
Morrison Av - Soundview,8.16642,1/
Whitlock Ave,2.69082,1/
St Lawrence Ave,7.59132,1/
Woodside - 61st St,6.78294,2/
Far Rockaway - Mott Ave,3.16872,2/
72nd St,0.81972,1/
96th St,1.20852,3/
168th St,6.56505,2/
Kingsbridge Rd,12.68946,2/
42nd St - Bryant Pk,0.16281,3/
Prospect Park,0.83511,1/
55th St,1.16478,1/
Jamaica - Van Wyck,5.89275,2/
Kew Gardens - Union Tpke,4.72068,2/
Sutphin Blvd - Archer Av,7.10694,2/
Court Sq - 23rd St,0.70308,3/
67th Ave,13.12686,1/
Grand Ave - Newtown,20.07099,1/
Ditmas Ave,4.67856,1/
Classon Ave,2.13678,3/
