Flushing - Main St,37.925496,2/
86th St,21.548268,2/
67th Ave,19.885824,1/
East Broadway,19.318824,1/
72nd St,17.613288,2/
1st Ave,16.91928,1/
Brooklyn College - Flatbush Ave,15.846516,2/
Lexington Ave - 53rd St,15.72858,2/
Woodhaven Blvd - Queens Mall,15.578892,4/
90th St - Elmhurst Av,15.436008,1/
96th St,15.193332,2/
72nd St,14.649012,2/
Brighton Beach,14.601384,1/
231st St,13.909644,2/
86th St,13.889232,4/
63rd Dr - Rego Park,13.671504,1/
77th St,13.635216,1/
Kings Hwy,13.249656,2/
Sheepshead Bay,13.02966,4/
Neck Rd,12.7008,1/
82nd St - Jackson Hts,12.66678,1/
Saratoga Ave,12.285756,1/
Ozone Park - Lefferts Blvd,12.199572,2/
Gun Hill Rd,12.063492,2/
Parkchester,11.972772,4/
Jamaica - 179th St,11.392164,2/
Sutter Ave - Rutland Road,11.115468,1/
Forest Hills - 71st Av,10.96578,2/
Canarsie - Rockaway Pkwy,10.509912,2/
96th St,10.337544,2/
Ave M,10.312596,1/
Astoria - Ditmars Blvd,10.226412,1/
Eastchester - Dyre Ave,10.133424,1/
66th St - Lincoln Ctr,9.936108,2/
18th Ave,9.890748,4/
Ave U,9.802296,1/
Grand Central - 42nd St,9.777348,2/
Newkirk Ave,9.602712,1/
167th St,9.55962,3/
West Farms Sq - E Tremont Av,9.523332,1/
Grand Ave - Newtown,9.439416,1/
Delancey St - Essex St,9.348696,3/
103rd St - Corona Plaza,9.335088,1/
191st St,9.103752,1/
Coney Island - Stillwell Av,9.058392,2/
103rd St,9.053856,1/
Church Ave,8.99262,2/
Middle Village - Metropolitan Ave,8.979012,2/
Lower East Side - 2nd Ave,8.972208,1/
Bay Ridge - 95th St,8.944992,1/
79th St,8.91324,1/
238th St,8.795304,1/
86th St,8.781696,1/
Crown Hts - Utica Ave,8.60706,2/
Baychester Ave,8.486856,1/
Marcy Ave,8.3916,2/
103rd St,8.296344,1/
Bay Pky,8.230572,2/
Bay Ridge Ave,8.162532,1/
175th St,8.001504,2/
28th St,7.910784,4/
20th Ave,7.84728,1/
Ocean Pkwy,7.829136,1/
86th St,7.810992,1/
96th St,7.715736,1/
Beach 25th St,7.663572,1/
Kingston Ave,7.638624,1/
77th St,7.570584,1/
233rd St,7.516152,2/
Buhre Ave,7.443576,1/
Fresh Pond Rd,7.414092,1/
135th St,7.3143,2/
Ave J,7.203168,1/
Neptune Ave,7.18956,4/
23rd St,7.13286,1/
68th St - Hunter College,7.092036,1/
157th St,7.033068,1/
Pelham Pkwy,7.014924,2/
Ft Hamilton Pkwy,6.969564,1/
71st St,6.926472,1/
161st St - Yankee Stadium,6.890184,2/
Winthrop St,6.881112,1/
Broadway,6.865236,3/
169th St,6.817608,1/
30th Ave,6.763176,1/
125th St,6.726888,1/
New Lots Ave,6.697404,4/
St Lawrence Ave,6.683796,1/
Junction Blvd,6.654312,2/
3rd Ave - 149th St,6.649776,2/
Kew Gardens - Union Tpke,6.640704,2/
Kingston - Throop Aves,6.638436,1/
E 105th St,6.6339,1/
116th St,6.62256,1/
79th St,6.593076,1/
Ft Hamilton Pkwy,6.58854,1/
Pelham Bay Park,6.556788,1/
110th St,6.540912,4/
Elder Ave,6.506892,1/
Allerton Ave,6.404832,1/
Bay Pky,6.398028,1/
170th St,6.388956,1/
Woodhaven Blvd,6.352668,1/
46th St,6.334524,4/
121st St,6.329988,1/
74th St - Broadway,6.273288,2/
Chambers St,6.24834,1/
Dyckman St,6.232464,4/
Woodside - 61st St,6.227928,2/
Utica Ave,6.205248,2/
Briarwood - Van Wyck Blvd,6.20298,4/
181st St,6.15762,1/
Beverly Rd,6.1236,1/
Church Ave,6.060096,2/
Kings Hwy,5.980716,4/
Morris Park,5.97618,1/
Elmhurst Ave,5.971644,1/
Lexington Ave - 63rd St,5.933088,2/
Fordham Rd,5.928552,1/
Far Rockaway - Mott Ave,5.917212,2/
111th St,5.88546,1/
46th St,5.835564,1/
Euclid Ave,5.831028,2/
125th St,5.799276,1/
Fordham Rd,5.79474,2/
Freeman St,5.787936,1/
Lexington Ave - 59th St,5.781132,4/
33rd St,5.731236,1/
Astoria Blvd,5.708556,1/
Castle Hill Ave,5.697216,1/
Jamaica Ctr - Parsons / Archer,5.69268,2/
18th Ave,5.6133,1/
50th St,5.608764,1/
Rockaway Park - Beach 116 St,5.563404,2/
Gates Ave,5.549796,1/
Forest Ave,5.547528,1/
Pelham Pkwy,5.54526,2/
176th St,5.538456,1/
137th St - City College,5.53392,3/
Parkside Ave,5.4999,1/
86th St,5.474952,1/
Kingsbridge Rd,5.456808,4/
69th St,5.452272,1/
96th St,5.42052,3/
Ditmas Ave,5.379696,1/
Ave X,5.288976,1/
52nd St,5.248152,1/
25th Ave,5.232276,1/
7th Ave,5.166504,3/
Bergen St,5.150628,1/
Gun Hill Rd,5.073516,2/
8th Ave,5.06898,4/
Newkirk Ave,5.02362,1/
Cathedral Pkwy (110th St),4.998672,1/
Sterling St,4.97826,1/
181st St,4.97826,4/
65th St,4.964652,1/
103rd St,4.953312,1/
Flushing Ave,4.948776,2/
Morrison Av - Soundview,4.939704,1/
219th St,4.935168,1/
Carroll St,4.923828,1/
Church Ave,4.84218,3/
55th St,4.828572,1/
225th St,4.792284,1/
Cortelyou Rd,4.778676,1/
42nd St - Port Authority Bus Term,4.769604,2/
Prospect Ave,4.744656,1/
45th St,4.719708,1/
Tremont Ave,4.71744,3/
Roosevelt Island - Main St,4.712904,2/
167th St,4.69476,1/
Dyckman St,4.665276,1/
53rd St,4.66074,1/
57th St,4.656204,1/
50th St,4.642596,4/
Aqueduct Racetrack,4.624452,1/
Mt Eden Ave,4.617648,1/
Kingsbridge Rd,4.597236,2/
Burke Ave,4.588164,1/
Parsons Blvd,4.565484,3/
